,tinh-tp,quan-huyen,phuong-xa
1977,tỉnh hoà bình,huyện đà bắc,xã tiền phong
1978,tỉnh hoà bình,huyện đà bắc,xã vầy nưa
1979,tỉnh hoà bình,huyện lương sơn,thị trấn lương sơn
1980,tỉnh hoà bình,huyện lương sơn,xã lâm sơn
1981,tỉnh hoà bình,huyện lương sơn,xã hòa sơn
1982,tỉnh hoà bình,huyện lương sơn,xã tân vinh
1983,tỉnh hoà bình,huyện lương sơn,xã nhuận trạch
1984,tỉnh hoà bình,huyện lương sơn,xã cao sơn
1985,tỉnh hoà bình,huyện lương sơn,xã cư yên
1986,tỉnh hoà bình,huyện lương sơn,xã liên sơn
1987,tỉnh hoà bình,huyện lương sơn,xã cao dương
1988,tỉnh hoà bình,huyện lương sơn,xã thanh sơn
1989,tỉnh hoà bình,huyện lương sơn,xã thanh cao
1990,tỉnh hoà bình,huyện kim bôi,thị trấn bo
1991,tỉnh hoà bình,huyện kim bôi,xã đú sáng
1992,tỉnh hoà bình,huyện kim bôi,xã hùng sơn
1993,tỉnh hoà bình,huyện kim bôi,xã bình sơn
1994,tỉnh hoà bình,huyện kim bôi,xã tú sơn
1995,tỉnh hoà bình,huyện kim bôi,xã vĩnh tiến
1996,tỉnh hoà bình,huyện kim bôi,xã đông bắc
1997,tỉnh hoà bình,huyện kim bôi,xã xuân thủy
1998,tỉnh hoà bình,huyện kim bôi,xã vĩnh đồng
1999,tỉnh hoà bình,huyện kim bôi,xã kim lập
2000,tỉnh hoà bình,huyện kim bôi,xã hợp tiến
2001,tỉnh hoà bình,huyện kim bôi,xã kim bôi
2002,tỉnh hoà bình,huyện kim bôi,xã nam thượng
2003,tỉnh hoà bình,huyện kim bôi,xã cuối hạ
2004,tỉnh hoà bình,huyện kim bôi,xã sào báy
2005,tỉnh hoà bình,huyện kim bôi,xã mi hòa
2006,tỉnh hoà bình,huyện kim bôi,xã nuông dăm
2007,tỉnh hoà bình,huyện cao phong,thị trấn cao phong
2008,tỉnh hoà bình,huyện cao phong,xã bình thanh
2009,tỉnh hoà bình,huyện cao phong,xã thung nai
2010,tỉnh hoà bình,huyện cao phong,xã bắc phong
2011,tỉnh hoà bình,huyện cao phong,xã thu phong
2012,tỉnh hoà bình,huyện cao phong,xã hợp phong
2013,tỉnh hoà bình,huyện cao phong,xã tây phong
2014,tỉnh hoà bình,huyện cao phong,xã dũng phong
2015,tỉnh hoà bình,huyện cao phong,xã nam phong
2016,tỉnh hoà bình,huyện cao phong,xã thạch yên
2017,tỉnh hoà bình,huyện tân lạc,thị trấn mãn đức
2018,tỉnh hoà bình,huyện tân lạc,xã suối hoa
2019,tỉnh hoà bình,huyện tân lạc,xã phú vinh
2020,tỉnh hoà bình,huyện tân lạc,xã phú cường
2021,tỉnh hoà bình,huyện tân lạc,xã mỹ hòa
2022,tỉnh hoà bình,huyện tân lạc,xã quyết chiến
2023,tỉnh hoà bình,huyện tân lạc,xã phong phú
2024,tỉnh hoà bình,huyện tân lạc,xã tử nê
2025,tỉnh hoà bình,huyện tân lạc,xã thanh hối
2026,tỉnh hoà bình,huyện tân lạc,xã ngọc mỹ
2027,tỉnh hoà bình,huyện tân lạc,xã đông lai
2028,tỉnh hoà bình,huyện tân lạc,xã vân sơn
2029,tỉnh hoà bình,huyện tân lạc,xã nhân mỹ
2030,tỉnh hoà bình,huyện tân lạc,xã lỗ sơn
2031,tỉnh hoà bình,huyện tân lạc,xã ngổ luông
2032,tỉnh hoà bình,huyện tân lạc,xã gia mô
2033,tỉnh hoà bình,huyện mai châu,xã tân thành
2034,tỉnh hoà bình,huyện mai châu,thị trấn mai châu
2035,tỉnh hoà bình,huyện mai châu,xã sơn thủy
2036,tỉnh hoà bình,huyện mai châu,xã pà cò
2037,tỉnh hoà bình,huyện mai châu,xã hang kia
2038,tỉnh hoà bình,huyện mai châu,xã đồng tân
2039,tỉnh hoà bình,huyện mai châu,xã cun pheo
2040,tỉnh hoà bình,huyện mai châu,xã bao la
2041,tỉnh hoà bình,huyện mai châu,xã tòng đậu
2042,tỉnh hoà bình,huyện mai châu,xã nà phòn
2043,tỉnh hoà bình,huyện mai châu,xã săm khóe
2044,tỉnh hoà bình,huyện mai châu,xã chiềng châu
2045,tỉnh hoà bình,huyện mai châu,xã mai hạ
2046,tỉnh hoà bình,huyện mai châu,xã thành sơn
2047,tỉnh hoà bình,huyện mai châu,xã mai hịch
2048,tỉnh hoà bình,huyện mai châu,xã vạn mai
2049,tỉnh hoà bình,huyện lạc sơn,thị trấn vụ bản
2050,tỉnh hoà bình,huyện lạc sơn,xã quý hòa
2051,tỉnh hoà bình,huyện lạc sơn,xã miền đồi
2052,tỉnh hoà bình,huyện lạc sơn,xã mỹ thành
2053,tỉnh hoà bình,huyện lạc sơn,xã tuân đạo
2054,tỉnh hoà bình,huyện lạc sơn,xã văn nghĩa
2055,tỉnh hoà bình,huyện lạc sơn,xã văn sơn
2056,tỉnh hoà bình,huyện lạc sơn,xã tân lập
2057,tỉnh hoà bình,huyện lạc sơn,xã nhân nghĩa
2058,tỉnh hoà bình,huyện lạc sơn,xã thượng cốc
2059,tỉnh hoà bình,huyện lạc sơn,xã quyết thắng
2060,tỉnh hoà bình,huyện lạc sơn,xã xuất hóa
2061,tỉnh hoà bình,huyện lạc sơn,xã yên phú
2062,tỉnh hoà bình,huyện lạc sơn,xã bình hẻm
2063,tỉnh hoà bình,huyện lạc sơn,xã định cư
2064,tỉnh hoà bình,huyện lạc sơn,xã chí đạo
2065,tỉnh hoà bình,huyện lạc sơn,xã ngọc sơn
2066,tỉnh hoà bình,huyện lạc sơn,xã hương nhượng
2067,tỉnh hoà bình,huyện lạc sơn,xã vũ bình
2068,tỉnh hoà bình,huyện lạc sơn,xã tự do
2069,tỉnh hoà bình,huyện lạc sơn,xã yên nghiệp
2070,tỉnh hoà bình,huyện lạc sơn,xã tân mỹ
2071,tỉnh hoà bình,huyện lạc sơn,xã ân nghĩa
2072,tỉnh hoà bình,huyện lạc sơn,xã ngọc lâu
2073,tỉnh hoà bình,huyện yên thủy,thị trấn hàng trạm
2074,tỉnh hoà bình,huyện yên thủy,xã lạc sỹ
2075,tỉnh hoà bình,huyện yên thủy,xã lạc lương
2076,tỉnh hoà bình,huyện yên thủy,xã bảo hiệu
2077,tỉnh hoà bình,huyện yên thủy,xã đa phúc
2078,tỉnh hoà bình,huyện yên thủy,xã hữu lợi
2079,tỉnh hoà bình,huyện yên thủy,xã lạc thịnh
2080,tỉnh hoà bình,huyện yên thủy,xã đoàn kết
2081,tỉnh hoà bình,huyện yên thủy,xã phú lai
2082,tỉnh hoà bình,huyện yên thủy,xã yên trị
2083,tỉnh hoà bình,huyện yên thủy,xã ngọc lương
2084,tỉnh hoà bình,huyện lạc thủy,thị trấn ba hàng đồi
2085,tỉnh hoà bình,huyện lạc thủy,thị trấn chi nê
2086,tỉnh hoà bình,huyện lạc thủy,xã phú nghĩa
2087,tỉnh hoà bình,huyện lạc thủy,xã phú thành
2088,tỉnh hoà bình,huyện lạc thủy,xã hưng thi
2089,tỉnh hoà bình,huyện lạc thủy,xã khoan dụ
2090,tỉnh hoà bình,huyện lạc thủy,xã đồng tâm
2091,tỉnh hoà bình,huyện lạc thủy,xã yên bồng
2092,tỉnh hoà bình,huyện lạc thủy,xã thống nhất
2093,tỉnh hoà bình,huyện lạc thủy,xã an bình
2094,tỉnh thái nguyên,thành phố thái nguyên,phường quán triều
2095,tỉnh thái nguyên,thành phố thái nguyên,phường quang vinh
2096,tỉnh thái nguyên,thành phố thái nguyên,phường túc duyên
2097,tỉnh thái nguyên,thành phố thái nguyên,phường hoàng văn thụ
2098,tỉnh thái nguyên,thành phố thái nguyên,phường trưng vương
2099,tỉnh thái nguyên,thành phố thái nguyên,phường quang trung
2100,tỉnh thái nguyên,thành phố thái nguyên,phường phan đình phùng
2101,tỉnh thái nguyên,thành phố thái nguyên,phường tân thịnh
2102,tỉnh thái nguyên,thành phố thái nguyên,phường thịnh đán
2103,tỉnh thái nguyên,thành phố thái nguyên,phường đồng quang
2104,tỉnh thái nguyên,thành phố thái nguyên,phường gia sàng
2105,tỉnh thái nguyên,thành phố thái nguyên,phường tân lập
2106,tỉnh thái nguyên,thành phố thái nguyên,phường cam giá
2107,tỉnh thái nguyên,thành phố thái nguyên,phường phú xá
2108,tỉnh thái nguyên,thành phố thái nguyên,phường hương sơn
2109,tỉnh thái nguyên,thành phố thái nguyên,phường trung thành
2110,tỉnh thái nguyên,thành phố thái nguyên,phường tân thành
2111,tỉnh thái nguyên,thành phố thái nguyên,phường tân long
2112,tỉnh thái nguyên,thành phố thái nguyên,xã phúc hà
2113,tỉnh thái nguyên,thành phố thái nguyên,xã phúc xuân
2114,tỉnh thái nguyên,thành phố thái nguyên,xã quyết thắng
2115,tỉnh thái nguyên,thành phố thái nguyên,xã phúc trìu
2116,tỉnh thái nguyên,thành phố thái nguyên,xã thịnh đức
2117,tỉnh thái nguyên,thành phố thái nguyên,phường tích lương
2118,tỉnh thái nguyên,thành phố thái nguyên,xã tân cương
2119,tỉnh thái nguyên,thành phố thái nguyên,xã sơn cẩm
2120,tỉnh thái nguyên,thành phố thái nguyên,phường chùa hang
2121,tỉnh thái nguyên,thành phố thái nguyên,xã cao ngạn
2122,tỉnh thái nguyên,thành phố thái nguyên,xã linh sơn
2123,tỉnh thái nguyên,thành phố thái nguyên,phường đồng bẩm
2124,tỉnh thái nguyên,thành phố thái nguyên,xã huống thượng
2125,tỉnh thái nguyên,thành phố thái nguyên,xã đồng liên
2126,tỉnh thái nguyên,thành phố sông công,phường lương sơn
2127,tỉnh thái nguyên,thành phố sông công,phường châu sơn
2128,tỉnh thái nguyên,thành phố sông công,phường mỏ chè
2129,tỉnh thái nguyên,thành phố sông công,phường cải đan
2130,tỉnh thái nguyên,thành phố sông công,phường thắng lợi
2131,tỉnh thái nguyên,thành phố sông công,phường phố cò
2132,tỉnh thái nguyên,thành phố sông công,xã tân quang
2133,tỉnh thái nguyên,thành phố sông công,phường bách quang
2134,tỉnh thái nguyên,thành phố sông công,xã bình sơn
2135,tỉnh thái nguyên,thành phố sông công,xã bá xuyên
2136,tỉnh thái nguyên,huyện định hóa,thị trấn chợ chu
2137,tỉnh thái nguyên,huyện định hóa,xã linh thông
2138,tỉnh thái nguyên,huyện định hóa,xã lam vỹ
2139,tỉnh thái nguyên,huyện định hóa,xã quy kỳ
2140,tỉnh thái nguyên,huyện định hóa,xã tân thịnh
2141,tỉnh thái nguyên,huyện định hóa,xã kim phượng
2142,tỉnh thái nguyên,huyện định hóa,xã bảo linh
2143,tỉnh thái nguyên,huyện định hóa,xã phúc chu
2144,tỉnh thái nguyên,huyện định hóa,xã tân dương
2145,tỉnh thái nguyên,huyện định hóa,xã phượng tiến
2146,tỉnh thái nguyên,huyện định hóa,xã bảo cường
2147,tỉnh thái nguyên,huyện định hóa,xã đồng thịnh
2148,tỉnh thái nguyên,huyện định hóa,xã định biên
2149,tỉnh thái nguyên,huyện định hóa,xã thanh định
2150,tỉnh thái nguyên,huyện định hóa,xã trung hội
2151,tỉnh thái nguyên,huyện định hóa,xã trung lương
2152,tỉnh thái nguyên,huyện định hóa,xã bình yên
2153,tỉnh thái nguyên,huyện định hóa,xã điềm mặc
2154,tỉnh thái nguyên,huyện định hóa,xã phú tiến
2155,tỉnh thái nguyên,huyện định hóa,xã bộc nhiêu
2156,tỉnh thái nguyên,huyện định hóa,xã sơn phú
2157,tỉnh thái nguyên,huyện định hóa,xã phú đình
2158,tỉnh thái nguyên,huyện định hóa,xã bình thành
2159,tỉnh thái nguyên,huyện phú lương,thị trấn giang tiên
2160,tỉnh thái nguyên,huyện phú lương,thị trấn đu
2161,tỉnh thái nguyên,huyện phú lương,xã yên ninh
2162,tỉnh thái nguyên,huyện phú lương,xã yên trạch
2163,tỉnh thái nguyên,huyện phú lương,xã yên đổ
2164,tỉnh thái nguyên,huyện phú lương,xã yên lạc
2165,tỉnh thái nguyên,huyện phú lương,xã ôn lương
2166,tỉnh thái nguyên,huyện phú lương,xã động đạt
2167,tỉnh thái nguyên,huyện phú lương,xã phủ lý
2168,tỉnh thái nguyên,huyện phú lương,xã phú đô
2169,tỉnh thái nguyên,huyện phú lương,xã hợp thành
2170,tỉnh thái nguyên,huyện phú lương,xã tức tranh
2171,tỉnh thái nguyên,huyện phú lương,xã phấn mễ
2172,tỉnh thái nguyên,huyện phú lương,xã vô tranh
2173,tỉnh thái nguyên,huyện phú lương,xã cổ lũng
2174,tỉnh thái nguyên,huyện đồng hỷ,thị trấn sông cầu
2175,tỉnh thái nguyên,huyện đồng hỷ,thị trấn trại cau
2176,tỉnh thái nguyên,huyện đồng hỷ,xã văn lăng
2177,tỉnh thái nguyên,huyện đồng hỷ,xã tân long
2178,tỉnh thái nguyên,huyện đồng hỷ,xã hòa bình
2179,tỉnh thái nguyên,huyện đồng hỷ,xã quang sơn
2180,tỉnh thái nguyên,huyện đồng hỷ,xã minh lập
2181,tỉnh thái nguyên,huyện đồng hỷ,xã văn hán
2182,tỉnh thái nguyên,huyện đồng hỷ,xã hóa trung
2183,tỉnh thái nguyên,huyện đồng hỷ,xã khe mo
2184,tỉnh thái nguyên,huyện đồng hỷ,xã cây thị
2185,tỉnh thái nguyên,huyện đồng hỷ,xã hóa thượng
2186,tỉnh thái nguyên,huyện đồng hỷ,xã hợp tiến
2187,tỉnh thái nguyên,huyện đồng hỷ,xã tân lợi
2188,tỉnh thái nguyên,huyện đồng hỷ,xã nam hòa
2189,tỉnh thái nguyên,huyện võ nhai,thị trấn đình cả
2190,tỉnh thái nguyên,huyện võ nhai,xã sảng mộc
2191,tỉnh thái nguyên,huyện võ nhai,xã nghinh tường
2192,tỉnh thái nguyên,huyện võ nhai,xã thần xa
2193,tỉnh thái nguyên,huyện võ nhai,xã vũ chấn
2194,tỉnh thái nguyên,huyện võ nhai,xã thượng nung
2195,tỉnh thái nguyên,huyện võ nhai,xã phú thượng
2196,tỉnh thái nguyên,huyện võ nhai,xã cúc đường
2197,tỉnh thái nguyên,huyện võ nhai,xã la hiên
2198,tỉnh thái nguyên,huyện võ nhai,xã lâu thượng
2199,tỉnh thái nguyên,huyện võ nhai,xã tràng xá
2200,tỉnh thái nguyên,huyện võ nhai,xã phương giao
2201,tỉnh thái nguyên,huyện võ nhai,xã liên minh
2202,tỉnh thái nguyên,huyện võ nhai,xã dân tiến
2203,tỉnh thái nguyên,huyện võ nhai,xã bình long
2204,tỉnh thái nguyên,huyện đại từ,thị trấn hùng sơn
2205,tỉnh thái nguyên,huyện đại từ,thị trấn quân chu
2206,tỉnh thái nguyên,huyện đại từ,xã phúc lương
2207,tỉnh thái nguyên,huyện đại từ,xã minh tiến
2208,tỉnh thái nguyên,huyện đại từ,xã yên lãng
2209,tỉnh thái nguyên,huyện đại từ,xã đức lương
2210,tỉnh thái nguyên,huyện đại từ,xã phú cường
2211,tỉnh thái nguyên,huyện đại từ,xã na mao
2212,tỉnh thái nguyên,huyện đại từ,xã phú lạc
2213,tỉnh thái nguyên,huyện đại từ,xã tân linh
2214,tỉnh thái nguyên,huyện đại từ,xã phú thịnh
2215,tỉnh thái nguyên,huyện đại từ,xã phục linh
2216,tỉnh thái nguyên,huyện đại từ,xã phú xuyên
2217,tỉnh thái nguyên,huyện đại từ,xã bản ngoại
2218,tỉnh thái nguyên,huyện đại từ,xã tiên hội
2219,tỉnh thái nguyên,huyện đại từ,xã cù vân
2220,tỉnh thái nguyên,huyện đại từ,xã hà thượng
2221,tỉnh thái nguyên,huyện đại từ,xã la bằng
2222,tỉnh thái nguyên,huyện đại từ,xã hoàng nông
2223,tỉnh thái nguyên,huyện đại từ,xã khôi kỳ
2224,tỉnh thái nguyên,huyện đại từ,xã an khánh
2225,tỉnh thái nguyên,huyện đại từ,xã tân thái
2226,tỉnh thái nguyên,huyện đại từ,xã bình thuận
2227,tỉnh thái nguyên,huyện đại từ,xã lục ba
2228,tỉnh thái nguyên,huyện đại từ,xã mỹ yên
2229,tỉnh thái nguyên,huyện đại từ,xã vạn thọ
2230,tỉnh thái nguyên,huyện đại từ,xã văn yên
2231,tỉnh thái nguyên,huyện đại từ,xã ký phú
2232,tỉnh thái nguyên,huyện đại từ,xã cát nê
2233,tỉnh thái nguyên,huyện đại từ,xã quân chu
2234,tỉnh thái nguyên,thành phố phổ yên,phường bãi bông
2235,tỉnh thái nguyên,thành phố phổ yên,phường bắc sơn
2236,tỉnh thái nguyên,thành phố phổ yên,phường ba hàng
2237,tỉnh thái nguyên,thành phố phổ yên,xã phúc tân
2238,tỉnh thái nguyên,thành phố phổ yên,xã phúc thuận
2239,tỉnh thái nguyên,thành phố phổ yên,phường hồng tiến
2240,tỉnh thái nguyên,thành phố phổ yên,xã minh đức
2241,tỉnh thái nguyên,thành phố phổ yên,phường đắc sơn
2242,tỉnh thái nguyên,thành phố phổ yên,phường đồng tiến
2243,tỉnh thái nguyên,thành phố phổ yên,xã thành công
2244,tỉnh thái nguyên,thành phố phổ yên,phường tiên phong
2245,tỉnh thái nguyên,thành phố phổ yên,xã vạn phái
2246,tỉnh thái nguyên,thành phố phổ yên,phường nam tiến
2247,tỉnh thái nguyên,thành phố phổ yên,phường tân hương
2248,tỉnh thái nguyên,thành phố phổ yên,phường đông cao
2249,tỉnh thái nguyên,thành phố phổ yên,phường trung thành
2250,tỉnh thái nguyên,thành phố phổ yên,phường tân phú
2251,tỉnh thái nguyên,thành phố phổ yên,phường thuận thành
2252,tỉnh thái nguyên,huyện phú bình,thị trấn hương sơn
2253,tỉnh thái nguyên,huyện phú bình,xã bàn đạt
2254,tỉnh thái nguyên,huyện phú bình,xã tân khánh
2255,tỉnh thái nguyên,huyện phú bình,xã tân kim
2256,tỉnh thái nguyên,huyện phú bình,xã tân thành
2257,tỉnh thái nguyên,huyện phú bình,xã đào xá
2258,tỉnh thái nguyên,huyện phú bình,xã bảo lý
2259,tỉnh thái nguyên,huyện phú bình,xã thượng đình
2260,tỉnh thái nguyên,huyện phú bình,xã tân hòa
2261,tỉnh thái nguyên,huyện phú bình,xã nhã lộng
2262,tỉnh thái nguyên,huyện phú bình,xã điềm thụy
2263,tỉnh thái nguyên,huyện phú bình,xã xuân phương
2264,tỉnh thái nguyên,huyện phú bình,xã tân đức
2265,tỉnh thái nguyên,huyện phú bình,xã úc kỳ
2266,tỉnh thái nguyên,huyện phú bình,xã lương phú
2267,tỉnh thái nguyên,huyện phú bình,xã nga my
2268,tỉnh thái nguyên,huyện phú bình,xã kha sơn
2269,tỉnh thái nguyên,huyện phú bình,xã thanh ninh
2270,tỉnh thái nguyên,huyện phú bình,xã dương thành
2271,tỉnh thái nguyên,huyện phú bình,xã hà châu
2272,tỉnh lạng sơn,thành phố lạng sơn,phường hoàng văn thụ
2273,tỉnh lạng sơn,thành phố lạng sơn,phường tam thanh
2274,tỉnh lạng sơn,thành phố lạng sơn,phường vĩnh trại
2275,tỉnh lạng sơn,thành phố lạng sơn,phường đông kinh
2276,tỉnh lạng sơn,thành phố lạng sơn,phường chi lăng
2277,tỉnh lạng sơn,thành phố lạng sơn,xã hoàng đồng
2278,tỉnh lạng sơn,thành phố lạng sơn,xã quảng lạc
2279,tỉnh lạng sơn,thành phố lạng sơn,xã mai pha
2280,tỉnh lạng sơn,huyện tràng định,thị trấn thất khê
2281,tỉnh lạng sơn,huyện tràng định,xã khánh long
2282,tỉnh lạng sơn,huyện tràng định,xã đoàn kết
2283,tỉnh lạng sơn,huyện tràng định,xã quốc khánh
2284,tỉnh lạng sơn,huyện tràng định,xã vĩnh tiến
2285,tỉnh lạng sơn,huyện tràng định,xã cao minh
2286,tỉnh lạng sơn,huyện tràng định,xã chí minh
2287,tỉnh lạng sơn,huyện tràng định,xã tri phương
2288,tỉnh lạng sơn,huyện tràng định,xã tân tiến
2289,tỉnh lạng sơn,huyện tràng định,xã tân yên
2290,tỉnh lạng sơn,huyện tràng định,xã đội cấn
2291,tỉnh lạng sơn,huyện tràng định,xã tân minh
2292,tỉnh lạng sơn,huyện tràng định,xã kim đồng
2293,tỉnh lạng sơn,huyện tràng định,xã chi lăng
2294,tỉnh lạng sơn,huyện tràng định,xã trung thành
2295,tỉnh lạng sơn,huyện tràng định,xã đại đồng
2296,tỉnh lạng sơn,huyện tràng định,xã đào viên
2297,tỉnh lạng sơn,huyện tràng định,xã đề thám
2298,tỉnh lạng sơn,huyện tràng định,xã kháng chiến
2299,tỉnh lạng sơn,huyện tràng định,xã hùng sơn
2300,tỉnh lạng sơn,huyện tràng định,xã quốc việt
2301,tỉnh lạng sơn,huyện tràng định,xã hùng việt
2302,tỉnh lạng sơn,huyện bình gia,xã hưng đạo
2303,tỉnh lạng sơn,huyện bình gia,xã vĩnh yên
2304,tỉnh lạng sơn,huyện bình gia,xã hoa thám
2305,tỉnh lạng sơn,huyện bình gia,xã quý hòa
2306,tỉnh lạng sơn,huyện bình gia,xã hồng phong
2307,tỉnh lạng sơn,huyện bình gia,xã yên lỗ
2308,tỉnh lạng sơn,huyện bình gia,xã thiện hòa
2309,tỉnh lạng sơn,huyện bình gia,xã quang trung
2310,tỉnh lạng sơn,huyện bình gia,xã thiện thuật
2311,tỉnh lạng sơn,huyện bình gia,xã minh khai
2312,tỉnh lạng sơn,huyện bình gia,xã thiện long
2313,tỉnh lạng sơn,huyện bình gia,xã hoàng văn thụ
2314,tỉnh lạng sơn,huyện bình gia,xã hòa bình
2315,tỉnh lạng sơn,huyện bình gia,xã mông ân
2316,tỉnh lạng sơn,huyện bình gia,xã tân hòa
2317,tỉnh lạng sơn,huyện bình gia,thị trấn bình gia
2318,tỉnh lạng sơn,huyện bình gia,xã hồng thái
2319,tỉnh lạng sơn,huyện bình gia,xã bình la
2320,tỉnh lạng sơn,huyện bình gia,xã tân văn
2321,tỉnh lạng sơn,huyện văn lãng,thị trấn na sầm
2322,tỉnh lạng sơn,huyện văn lãng,xã trùng khánh
2323,tỉnh lạng sơn,huyện văn lãng,xã bắc la
2324,tỉnh lạng sơn,huyện văn lãng,xã thụy hùng
2325,tỉnh lạng sơn,huyện văn lãng,xã bắc hùng
2326,tỉnh lạng sơn,huyện văn lãng,xã tân tác
2327,tỉnh lạng sơn,huyện văn lãng,xã thanh long
2328,tỉnh lạng sơn,huyện văn lãng,xã hội hoan
2329,tỉnh lạng sơn,huyện văn lãng,xã bắc việt
2330,tỉnh lạng sơn,huyện văn lãng,xã hoàng việt
2331,tỉnh lạng sơn,huyện văn lãng,xã gia miễn
2332,tỉnh lạng sơn,huyện văn lãng,xã thành hòa
2333,tỉnh lạng sơn,huyện văn lãng,xã tân thanh
2334,tỉnh lạng sơn,huyện văn lãng,xã tân mỹ
2335,tỉnh lạng sơn,huyện văn lãng,xã hồng thái
2336,tỉnh lạng sơn,huyện văn lãng,xã  hoàng văn thụ
2337,tỉnh lạng sơn,huyện văn lãng,xã nhạc kỳ
2338,tỉnh lạng sơn,huyện cao lộc,thị trấn đồng đăng
2339,tỉnh lạng sơn,huyện cao lộc,thị trấn cao lộc
2340,tỉnh lạng sơn,huyện cao lộc,xã bảo lâm
2341,tỉnh lạng sơn,huyện cao lộc,xã thanh lòa
2342,tỉnh lạng sơn,huyện cao lộc,xã cao lâu
2343,tỉnh lạng sơn,huyện cao lộc,xã thạch đạn
2344,tỉnh lạng sơn,huyện cao lộc,xã xuất lễ
2345,tỉnh lạng sơn,huyện cao lộc,xã hồng phong
2346,tỉnh lạng sơn,huyện cao lộc,xã thụy hùng
2347,tỉnh lạng sơn,huyện cao lộc,xã lộc yên
2348,tỉnh lạng sơn,huyện cao lộc,xã phú xá
2349,tỉnh lạng sơn,huyện cao lộc,xã bình trung
2350,tỉnh lạng sơn,huyện cao lộc,xã hải yến
2351,tỉnh lạng sơn,huyện cao lộc,xã hòa cư
2352,tỉnh lạng sơn,huyện cao lộc,xã hợp thành
2353,tỉnh lạng sơn,huyện cao lộc,xã công sơn
2354,tỉnh lạng sơn,huyện cao lộc,xã gia cát
2355,tỉnh lạng sơn,huyện cao lộc,xã mẫu sơn
2356,tỉnh lạng sơn,huyện cao lộc,xã xuân long
2357,tỉnh lạng sơn,huyện cao lộc,xã tân liên
2358,tỉnh lạng sơn,huyện cao lộc,xã yên trạch
2359,tỉnh lạng sơn,huyện cao lộc,xã tân thành
2360,tỉnh lạng sơn,huyện văn quan,thị trấn văn quan
2361,tỉnh lạng sơn,huyện văn quan,xã trấn ninh
2362,tỉnh lạng sơn,huyện văn quan,xã liên hội
2363,tỉnh lạng sơn,huyện văn quan,xã hòa bình
2364,tỉnh lạng sơn,huyện văn quan,xã tú xuyên
2365,tỉnh lạng sơn,huyện văn quan,xã điềm he
2366,tỉnh lạng sơn,huyện văn quan,xã an sơn
2367,tỉnh lạng sơn,huyện văn quan,xã khánh khê
2368,tỉnh lạng sơn,huyện văn quan,xã lương năng
2369,tỉnh lạng sơn,huyện văn quan,xã đồng giáp
2370,tỉnh lạng sơn,huyện văn quan,xã bình phúc
2371,tỉnh lạng sơn,huyện văn quan,xã tràng các
2372,tỉnh lạng sơn,huyện văn quan,xã tân đoàn
2373,tỉnh lạng sơn,huyện văn quan,xã tri lễ
2374,tỉnh lạng sơn,huyện văn quan,xã tràng phái
2375,tỉnh lạng sơn,huyện văn quan,xã yên phúc
2376,tỉnh lạng sơn,huyện văn quan,xã hữu lễ
2377,tỉnh lạng sơn,huyện bắc sơn,thị trấn bắc sơn
2378,tỉnh lạng sơn,huyện bắc sơn,xã long đống
2379,tỉnh lạng sơn,huyện bắc sơn,xã vạn thủy
2380,tỉnh lạng sơn,huyện bắc sơn,xã đồng ý
2381,tỉnh lạng sơn,huyện bắc sơn,xã tân tri
2382,tỉnh lạng sơn,huyện bắc sơn,xã bắc quỳnh
2383,tỉnh lạng sơn,huyện bắc sơn,xã hưng vũ
2384,tỉnh lạng sơn,huyện bắc sơn,xã tân lập
2385,tỉnh lạng sơn,huyện bắc sơn,xã vũ sơn
2386,tỉnh lạng sơn,huyện bắc sơn,xã chiêu vũ
2387,tỉnh lạng sơn,huyện bắc sơn,xã tân hương
2388,tỉnh lạng sơn,huyện bắc sơn,xã chiến thắng
2389,tỉnh lạng sơn,huyện bắc sơn,xã vũ lăng
2390,tỉnh lạng sơn,huyện bắc sơn,xã trấn yên
2391,tỉnh lạng sơn,huyện bắc sơn,xã vũ lễ
2392,tỉnh lạng sơn,huyện bắc sơn,xã nhất hòa
2393,tỉnh lạng sơn,huyện bắc sơn,xã tân thành
2394,tỉnh lạng sơn,huyện bắc sơn,xã nhất tiến
2395,tỉnh lạng sơn,huyện hữu lũng,thị trấn hữu lũng
2396,tỉnh lạng sơn,huyện hữu lũng,xã hữu liên
2397,tỉnh lạng sơn,huyện hữu lũng,xã yên bình
2398,tỉnh lạng sơn,huyện hữu lũng,xã quyết thắng
2399,tỉnh lạng sơn,huyện hữu lũng,xã hòa bình
2400,tỉnh lạng sơn,huyện hữu lũng,xã yên thịnh
2401,tỉnh lạng sơn,huyện hữu lũng,xã yên sơn
2402,tỉnh lạng sơn,huyện hữu lũng,xã thiện tân
2403,tỉnh lạng sơn,huyện hữu lũng,xã yên vượng
2404,tỉnh lạng sơn,huyện hữu lũng,xã minh tiến
2405,tỉnh lạng sơn,huyện hữu lũng,xã nhật tiến
2406,tỉnh lạng sơn,huyện hữu lũng,xã thanh sơn
2407,tỉnh lạng sơn,huyện hữu lũng,xã đồng tân
2408,tỉnh lạng sơn,huyện hữu lũng,xã cai kinh
2409,tỉnh lạng sơn,huyện hữu lũng,xã hòa lạc
2410,tỉnh lạng sơn,huyện hữu lũng,xã vân nham
2411,tỉnh lạng sơn,huyện hữu lũng,xã đồng tiến
2412,tỉnh lạng sơn,huyện hữu lũng,xã tân thành
